Open,High,Low,Close,Adj Close,Volume,Return,Date,Week_Number,Year,Day,Weekday,mean_return,volatility
147.77999877929688,148.88999938964844,146.0800018310547,146.30999755859375,146.30999755859375,1373700,-1.202,2019-12-09,49,2019,9,Monday,-0.1182,0.7186481753960001
145.86000061035156,147.9199981689453,145.0,145.97000122070312,145.97000122070312,1450300,-0.232,2019-12-10,49,2019,10,Tuesday,-0.1182,0.7186481753960001
144.9600067138672,147.35000610351562,141.97000122070312,147.1300048828125,147.1300048828125,767400,0.795,2019-12-11,49,2019,11,Wednesday,-0.1182,0.7186481753960001
146.97000122070312,148.67999267578125,145.6999969482422,147.22999572753906,147.22999572753906,593000,0.068,2019-12-12,49,2019,12,Thursday,-0.1182,0.7186481753960001
146.50999450683594,148.36000061035156,146.08999633789062,147.1999969482422,147.1999969482422,703300,-0.02,2019-12-13,49,2019,13,Friday,-0.1182,0.7186481753960001
148.4499969482422,151.39999389648438,148.00999450683594,150.77999877929688,150.77999877929688,1223800,2.432,2019-12-16,50,2019,16,Monday,0.42499999999999993,1.2498365893187797
150.9499969482422,152.6999969482422,150.2310028076172,151.52999877929688,151.52999877929688,1431800,0.497,2019-12-17,50,2019,17,Tuesday,0.42499999999999993,1.2498365893187797
152.75999450683594,153.2030029296875,150.44000244140625,150.8699951171875,150.8699951171875,1561800,-0.436,2019-12-18,50,2019,18,Wednesday,0.42499999999999993,1.2498365893187797
150.64999389648438,150.75,148.75,149.67999267578125,149.67999267578125,1025700,-0.789,2019-12-19,50,2019,19,Thursday,0.42499999999999993,1.2498365893187797
150.72999572753906,150.72999572753906,148.80499267578125,150.30999755859375,150.30999755859375,828300,0.421,2019-12-20,50,2019,20,Friday,0.42499999999999993,1.2498365893187797
150.39999389648438,152.0,149.77999877929688,150.4199981689453,150.4199981689453,939200,0.073,2019-12-23,51,2019,23,Monday,0.47275,0.3521915908517219
150.6300048828125,153.00999450683594,150.02000427246094,151.82000732421875,151.82000732421875,1008000,0.931,2019-12-24,51,2019,24,Tuesday,0.47275,0.3521915908517219
151.88999938964844,153.17999267578125,151.0500030517578,152.52000427246094,152.52000427246094,752700,0.461,2019-12-26,51,2019,26,Thursday,0.47275,0.3521915908517219
152.6199951171875,154.0,152.50999450683594,153.1699981689453,153.1699981689453,920700,0.426,2019-12-27,51,2019,27,Friday,0.47275,0.3521915908517219
153.17999267578125,153.49000549316406,149.6699981689453,149.80999755859375,149.80999755859375,1038100,-2.194,2019-12-30,52,2019,30,Monday,-1.184,1.428355697996826
149.1199951171875,150.2100067138672,147.5500030517578,149.5500030517578,149.5500030517578,769300,-0.174,2019-12-31,52,2019,31,Tuesday,-1.184,1.428355697996826
151.0,152.8000030517578,149.61000061035156,151.6199951171875,151.6199951171875,662600,1.384,2020-01-02,00,2020,2,Thursday,0.982,0.5685138520739842
149.5,153.58999633789062,149.5,152.5,152.5,1018400,0.58,2020-01-03,00,2020,3,Friday,0.982,0.5685138520739842
151.49000549316406,157.0,150.35000610351562,156.72000122070312,156.72000122070312,1311900,2.767,2020-01-06,01,2020,6,Monday,0.4711999999999998,1.6931051946054623
156.6999969482422,157.85000610351562,155.00999450683594,156.02000427246094,156.02000427246094,876700,-0.447,2020-01-07,01,2020,7,Tuesday,0.4711999999999998,1.6931051946054623
156.3300018310547,159.47999572753906,155.33999633789062,158.77999877929688,158.77999877929688,974500,1.769,2020-01-08,01,2020,8,Wednesday,0.4711999999999998,1.6931051946054623
157.83999633789062,159.97999572753906,157.11000061035156,157.74000549316406,157.74000549316406,1630600,-0.655,2020-01-09,01,2020,9,Thursday,0.4711999999999998,1.6931051946054623
157.74000549316406,158.66000366210938,154.89999389648438,156.0399932861328,156.0399932861328,1046400,-1.078,2020-01-10,01,2020,10,Friday,0.4711999999999998,1.6931051946054623
152.1999969482422,154.11500549316406,150.26499938964844,150.8699951171875,150.8699951171875,1880900,-3.313,2020-01-13,02,2020,13,Monday,-0.99,2.0412578230101164
151.6199951171875,152.1300048828125,148.22000122070312,149.39999389648438,149.39999389648438,1048000,-0.974,2020-01-14,02,2020,14,Tuesday,-0.99,2.0412578230101164
149.38999938964844,152.82000732421875,149.35499572753906,152.4499969482422,152.4499969482422,1037400,2.042,2020-01-15,02,2020,15,Wednesday,-0.99,2.0412578230101164
153.35000610351562,153.35000610351562,150.27000427246094,151.83999633789062,151.83999633789062,701300,-0.4,2020-01-16,02,2020,16,Thursday,-0.99,2.0412578230101164
152.0800018310547,152.64999389648438,146.6199951171875,148.33999633789062,148.33999633789062,1314900,-2.305,2020-01-17,02,2020,17,Friday,-0.99,2.0412578230101164
147.5,149.44000244140625,145.71499633789062,148.9499969482422,148.9499969482422,1743900,0.411,2020-01-21,03,2020,21,Tuesday,-0.28575,0.9916442154321276
150.0,152.92999267578125,147.02999877929688,148.1199951171875,148.1199951171875,1718700,-0.557,2020-01-22,03,2020,22,Wednesday,-0.28575,0.9916442154321276
148.0,150.9499969482422,147.63999938964844,148.97000122070312,148.97000122070312,1102100,0.574,2020-01-23,03,2020,23,Thursday,-0.28575,0.9916442154321276
149.35000610351562,150.2100067138672,145.89999389648438,146.6300048828125,146.6300048828125,1164800,-1.571,2020-01-24,03,2020,24,Friday,-0.28575,0.9916442154321276
143.10000610351562,145.3800048828125,141.5,144.33999633789062,144.33999633789062,1003900,-1.562,2020-01-27,04,2020,27,Monday,-0.733,1.1133301397159785
145.0,145.59500122070312,143.05999755859375,144.3000030517578,144.3000030517578,791400,-0.028,2020-01-28,04,2020,28,Tuesday,-0.733,1.1133301397159785
144.94000244140625,144.94000244140625,141.4199981689453,141.57000732421875,141.57000732421875,1215200,-1.892,2020-01-29,04,2020,29,Wednesday,-0.733,1.1133301397159785
140.14999389648438,142.97000122070312,140.0,142.7100067138672,142.7100067138672,886600,0.805,2020-01-30,04,2020,30,Thursday,-0.733,1.1133301397159785
143.0,143.02000427246094,140.10000610351562,141.3000030517578,141.3000030517578,1501100,-0.988,2020-01-31,04,2020,31,Friday,-0.733,1.1133301397159785
141.72999572753906,146.57000732421875,141.5,146.5,146.5,1894500,3.68,2020-02-03,05,2020,3,Monday,1.8810000000000002,4.23863804776959
149.0500030517578,156.0,148.64700317382812,154.30999755859375,154.30999755859375,3152600,5.331,2020-02-04,05,2020,4,Tuesday,1.8810000000000002,4.23863804776959
150.0,152.0,145.36000061035156,147.0,147.0,4159800,-4.737,2020-02-05,05,2020,5,Wednesday,1.8810000000000002,4.23863804776959
146.6199951171875,154.5500030517578,145.60000610351562,154.3699951171875,154.3699951171875,2341700,5.014,2020-02-06,05,2020,6,Thursday,1.8810000000000002,4.23863804776959
152.7899932861328,155.0,150.7100067138672,154.5500030517578,154.5500030517578,2110600,0.117,2020-02-07,05,2020,7,Friday,1.8810000000000002,4.23863804776959
152.6300048828125,154.2899932861328,147.89999389648438,148.3300018310547,148.3300018310547,1794700,-4.025,2020-02-10,06,2020,10,Monday,-1.7998,2.139541235872775
149.35000610351562,150.97999572753906,145.02000427246094,145.77000427246094,145.77000427246094,1527900,-1.726,2020-02-11,06,2020,11,Tuesday,-1.7998,2.139541235872775
146.16000366210938,147.44000244140625,144.1699981689453,147.0800018310547,147.0800018310547,1224000,0.899,2020-02-12,06,2020,12,Wednesday,-1.7998,2.139541235872775
